Country Name,Country Code,Indicator Name,Indicator Code,Counterpart Country Name,Counterpart Country Code,Attribute,2024M2,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Value,2466848948,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Status,,
Canada,156,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Value,699472632,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Value,1058843775,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Status,r,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Value,2097480560,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Status,r,
United States,111,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Value,6014927400,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Value,13405751032,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Status,r,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Value,3190760157,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Status,r,
Canada,156,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Value,91242715,
Japan,158,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Value,6910880851,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Value,4526605008,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Status,r,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Value,5628407020,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Status,,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Value,2050332439,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Status,r,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Value,3217830111,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Status,r,
Canada,156,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Value,34671115606,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Value,759815512,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Status,r,
Canada,156,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Value,887809276,
Japan,158,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Value,966835931,
United States,111,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Value,5559967735,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Value,543136225,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Status,,
